1,3332,721,265205,2016-10-11 20:41:21
2,5590,150,631922,2022-07-27 22:18:17
3,8681,339,750497,2018-09-16 13:41:28
4,7668,32,594271,2015-12-10 02:39:23
5,3388,291,993766,2020-08-12 10:57:28
6,5355,263,286399,2023-02-21 11:03:39
7,1111,537,909858,2017-03-08 05:24:55
8,7165,768,149957,2023-12-25 18:18:34
9,9207,1228,874189,2020-03-22 15:00:21
10,9060,195,840717,2017-05-06 12:20:54
11,4235,742,144904,2015-03-25 07:20:52
12,4710,579,999957,2024-04-04 00:18:28
13,2754,1043,164298,2015-04-09 05:11:10
14,1584,1162,518831,2019-11-30 21:37:27
15,3265,1096,192127,2020-12-01 02:34:05
16,6,116,273187,2021-07-04 17:04:37
17,9013,828,948707,2017-12-27 23:38:12
18,5062,947,439598,2019-11-29 05:59:52
19,7343,521,152379,2017-08-22 05:48:55
20,4323,1688,134846,2024-05-29 22:30:45
21,826,13,930651,2017-02-23 14:30:43
22,12,1439,397618,2020-07-12 01:36:46
23,4914,1214,302519,2020-06-26 18:14:19
24,7519,349,877386,2024-01-27 05:25:55
25,6068,495,747625,2019-07-16 22:16:19
26,7209,1001,590473,2018-02-06 15:25:03
27,7689,494,660403,2021-12-05 14:30:55
28,9748,1995,256054,2015-11-29 08:33:02
29,2399,1353,165279,2016-02-14 09:04:56
30,448,1224,191641,2018-03-05 07:56:00
31,7933,376,51438,2020-05-31 22:49:56
32,6292,74,621699,2019-11-03 22:07:09
33,6988,960,106076,2021-08-21 16:08:43
34,7786,926,351080,2023-04-30 20:25:48
35,2125,812,649806,2023-12-05 05:22:13
36,8272,577,10555,2023-03-11 23:09:14
37,1341,1610,853478,2017-06-19 02:20:13
38,5739,1184,939676,2022-11-21 12:08:54
39,2868,646,587533,2015-12-18 04:30:41
40,6415,573,468717,2017-05-09 07:57:56
41,6302,1383,676862,2022-07-28 02:48:29
42,3249,1437,606569,2022-05-02 08:49:03
43,6391,273,139207,2023-09-19 07:48:15
44,4540,886,921991,2015-09-24 21:43:56
45,7597,1175,241317,2018-08-11 17:48:53
46,6915,677,544840,2017-05-14 16:53:57
47,5680,381,883275,2023-01-02 07:56:59
48,6064,214,410039,2018-10-02 10:17:47
49,445,1300,297560,2020-12-17 11:29:26
50,550,144,623354,2024-05-02 00:35:46
51,9413,1706,981850,2019-12-28 14:39:53
52,7963,960,591247,2018-04-16 21:31:15
53,2720,1065,151465,2021-11-09 03:28:37
54,5736,1921,772469,2022-11-11 18:47:08
55,2429,1569,271374,2022-09-24 00:18:45
56,1399,177,780688,2023-03-23 09:29:14
57,4115,717,600186,2017-10-23 19:40:53
58,363,343,544038,2018-12-10 02:46:26
59,1937,980,537673,2018-04-10 21:25:34
60,3898,642,894248,2023-05-08 20:49:33
61,8569,836,190199,2021-02-10 16:28:11
62,4076,1817,470642,2023-09-08 04:28:43
63,9766,1589,585410,2015-10-22 23:53:25
64,7056,1071,588085,2018-02-05 12:42:18
65,940,609,52306,2021-10-23 15:40:44
66,406,1165,486834,2023-08-28 05:36:42
67,5551,1642,316705,2016-07-05 00:25:31
68,3403,1187,540296,2021-04-12 06:58:05
69,1407,149,552301,2016-02-02 10:27:46
70,9656,823,976403,2015-07-06 19:48:57
71,2706,1435,85450,2022-05-01 00:41:28
72,244,81,301383,2022-02-24 11:54:48
73,851,1161,672931,2021-05-27 06:03:12
74,8246,732,585573,2016-01-29 14:50:02
75,6205,496,552087,2019-11-03 02:22:15
76,533,1907,316656,2016-11-08 11:04:09
77,1153,363,450752,2015-07-23 12:04:34
78,7436,838,784161,2018-12-11 05:16:11
79,715,573,421672,2019-09-13 08:25:17
80,5772,1891,439608,2018-01-18 05:23:41
81,666,1405,550919,2023-11-02 23:20:02
82,21,64,23285,2017-05-13 00:09:37
83,9023,1758,159552,2023-11-28 07:22:27
84,5155,577,283235,2022-08-14 09:15:14
85,2729,1305,67192,2019-03-06 20:50:59
86,2857,341,738243,2016-12-13 14:50:04
87,5778,1003,516590,2023-06-05 21:26:19
88,895,330,56235,2015-01-13 14:52:14
89,4720,278,415713,2017-04-20 10:31:33
90,6098,1053,686193,2022-02-25 07:42:58
91,3849,646,238412,2020-04-24 02:59:34
92,5555,1971,661874,2019-08-09 09:07:50
93,5507,387,997541,2019-06-23 23:57:25
94,9530,1690,646831,2021-12-25 00:49:22
95,6788,1083,677348,2021-04-25 16:57:17
96,2374,668,427666,2017-07-25 14:27:26
97,4438,1737,938458,2017-11-12 09:19:08
98,4947,1130,104873,2018-01-10 01:10:22
99,9336,740,367565,2016-01-14 05:49:25
100,4168,1381,36155,2020-10-21 11:16:12
