1,4078,1687,3968
2,9602,766,12036
3,6613,230,12064
4,16037,1893,7114
5,19056,340,12702
6,4713,27,1814
7,13356,1102,12898
8,5518,1381,6240
9,6759,761,5345
10,17351,1885,18851
11,13166,346,3921
12,14425,917,14168
13,9747,1416,2841
14,974,8,2346
15,9972,430,4142
16,503,1585,13194
17,694,1011,5190
18,5768,437,14594
19,7427,1772,2761
20,14083,38,12776
21,4543,683,6516
22,13521,1524,6485
23,12700,741,5334
24,12081,131,8488
25,8194,1223,17148
26,10781,1987,3567
27,13402,1396,7343
28,1095,1850,9089
29,9110,761,13644
30,13254,968,4405
31,9310,1453,11640
32,16841,1698,7364
33,225,1040,1431
34,1790,1847,10370
35,19318,1576,15207
36,19037,1372,7635
37,14906,1807,396
38,2825,443,5514
39,7370,84,12796
40,12066,1537,6759
41,12906,943,8191
42,11611,480,6509
43,11010,76,12759
44,1039,918,2806
45,10143,1777,19579
46,2840,1985,5412
47,9302,1135,14177
48,15575,1225,11869
49,5315,1676,18740
50,10291,859,17511
51,16039,446,3989
52,3860,1469,3991
53,13029,1287,9435
54,7645,173,15375
55,691,1023,3708
56,3144,1134,2423
57,5404,362,4634
58,681,108,9515
59,11630,346,1242
60,12024,1036,1161
61,14757,130,7132
62,5127,419,19163
63,13543,873,12690
64,14516,617,15583
65,8007,145,14546
66,9912,1177,15849
67,8918,14,11948
68,4780,521,13841
69,11727,896,11949
70,13659,168,18242
71,15540,86,9754
72,1718,596,6984
73,13099,1389,4999
74,7182,278,18728
75,16830,507,6101
76,16419,790,15098
77,468,399,14671
78,15801,326,17716
79,12386,779,16619
80,15235,1824,13383
81,498,1730,15437
82,5407,858,10138
83,3776,1194,7229
84,1058,1612,13967
85,6051,1064,11122
86,10314,224,217
87,13531,1144,14134
88,3594,693,5794
89,18659,629,10512
90,17356,514,13604
91,1107,235,18400
92,18038,1406,14458
93,2083,780,17863
94,6270,1451,19853
95,10615,1235,7933
96,15281,1505,10024
97,11976,296,2100
98,11649,1549,1087
99,1110,1462,13870
100,13356,1897,5087
101,5624,629,3843
102,16428,1084,789
103,5267,1792,5012
104,349,1426,11190
105,17995,449,14983
106,13539,794,3364
107,561,1228,6637
108,13973,767,2734
109,16323,1782,19730
110,13313,535,7396
111,13404,304,11118
112,19882,1303,12198
113,18811,1903,13446
114,2320,1291,13726
115,2753,955,14132
116,15595,1269,19227
117,19528,104,6951
118,470,1007,13972
119,8536,124,19577
120,4081,679,11497
121,1967,232,4454
122,10281,918,9208
123,12108,994,5504
124,15155,296,13858
125,8798,987,3401
126,13334,156,10878
127,8802,1080,18717
128,16098,1606,9530
129,8700,1715,17881
130,11967,1852,5541
131,19890,225,7886
