1,52593,76346,1647,674.25,4000,2018-06-13 00:43:45
2,19483,17238,1897,1006.03,4337,2022-02-25 02:13:41
3,52142,46755,1598,54.12,1891,2018-05-05 20:35:10
4,88783,46958,265,1049.87,2635,2023-02-23 11:14:35
5,34033,59902,320,1298.99,3088,2015-03-19 13:14:58
6,53169,345,160,767.14,351,2019-11-14 23:35:13
7,5329,32894,113,1042.98,4554,2018-06-10 16:33:06
8,46996,52539,1343,214.22,2645,2016-03-06 09:56:03
9,27417,5458,1779,346.56,3674,2017-06-24 19:46:47
10,21609,86868,1018,103.31,1396,2015-02-22 04:05:38
11,93744,38469,1905,903.9,1241,2022-07-29 23:02:01
12,22480,61712,489,249.24,3896,2023-10-25 00:31:55
13,52288,94104,291,88.9,3132,2020-02-01 10:01:38
14,64848,98787,923,1063.9,3434,2016-06-13 15:10:49
15,78918,91974,1406,828.94,4395,2016-12-13 08:22:32
16,2656,4397,1218,1063.29,2857,2015-09-23 20:32:45
17,52318,79693,1735,812.07,3524,2019-03-14 21:03:43
18,46169,58217,1721,1128.74,3074,2022-07-19 23:11:16
19,7588,45874,1267,276.1,1290,2020-01-26 13:13:56
20,98932,68956,891,880.77,2189,2015-09-01 21:08:24
21,64279,61058,208,1303.39,4510,2015-08-21 08:04:19
22,10027,71421,1489,243.21,4190,2020-07-13 01:59:42
23,28498,7092,697,865.94,1896,2015-11-06 21:31:49
24,23778,92566,1715,1262.98,533,2017-06-07 21:37:32
25,41443,17718,895,871.96,620,2021-03-08 19:56:53
26,46500,87943,1310,421.56,4208,2020-12-06 02:45:12
27,89091,66317,866,575.73,4244,2016-03-06 16:47:25
28,28973,70316,793,39.07,565,2024-05-29 09:41:23
29,59553,37591,569,536.28,712,2015-06-18 15:29:05
30,40946,54171,112,60.72,418,2015-07-28 17:32:01
31,75507,46660,1656,285.63,965,2021-10-27 23:59:38
32,76933,29613,1805,77.0,1494,2019-12-26 13:51:13
33,96200,96828,1907,672.6,4228,2017-07-31 12:10:05
34,40180,215,1031,291.29,115,2019-07-28 11:03:26
35,36785,40902,601,690.05,2507,2019-02-07 15:27:09
36,96390,41489,717,1149.52,4078,2023-04-24 17:57:01
37,32371,62412,1653,657.44,4202,2015-12-01 04:51:23
38,40237,13024,1384,1251.24,2462,2021-10-15 16:06:03
39,87671,64558,1414,1311.99,429,2018-07-06 12:38:04
40,64661,51330,1674,1069.03,4333,2015-01-27 19:43:16
